Name,Address,Phone,Website,Membership Status,Legislation
Empire Justice Center - Long Island,"320 Carleton Ave, Central Islip, NY 11722",631-533-5240,https://empirejustice.org/,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Empire Justice Center - White Plains,"80 North Broadway, White Plains, NY 10603",,https://empirejustice.org/,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Empire Justice Center - Rochester,"One West Main Street, Ste. 200, Rochester, NY 14614",585-454-4060,https://empirejustice.org/,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Empire Justice Center - Albany,"119 Washington Avenue, Albany, NY 12210",518-462-6831 ,https://empirejustice.org/,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Empire Justice Center - Yonkers,"30 South Broadway, 6th Floor, Yonkers, NY 10701",914-595-0910,https://empirejustice.org/,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
District Council 37 Municipal Employees Legal Services (DC37) - Westchester,"Westchester County, NY",212-815-1111,https://www.dc37.net/benefits/MELS,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
District Council 37 Municipal Employees Legal Services (DC37) - Rockland,"Rockland County, NY",212-815-1111,https://www.dc37.net/benefits/MELS,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
District Council 37 Municipal Employees Legal Services (DC37) - Nassau,"Nassau County, NY",212-815-1111,https://www.dc37.net/benefits/MELS,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
District Council 37 Municipal Employees Legal Services (DC37) - Suffolk,"Suffolk County, NY",212-815-1111,https://www.dc37.net/benefits/MELS,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Lifting Up Westchester,"35 Orchard St, White Plains, NY 10603",914-949-3098,www.liftingupwestchester.org,Endorser,Statewide Right to Counsel
Albany Law School Landlord Tenant Pro Bono Society,"80 New Scotland Ave, Albany, NY 12208",518-445-2328,https://www.albanylaw.edu/the-justice-center/pro-bono-society,Supporter,Statewide Right to Counsel
Community Voices Heard,"115 E 106th St # 3, New York, NY 10029",212-860-6001,www.cvhaction.org,Endorser,Statewide Right to Counsel
Cypress Hills Local Development Corporation,"625 Jamaica Ave, Brooklyn, NY 11208",718-647-2800,https://www.cypresshills.org/,Endorser,Statewide Right to Counsel
John Jay College Institute for Justice and Opportunity,"555 W 57th St, Suite 603, New York, New York 10019",,https://justiceandopportunity.org/,Endorser,Statewide Right to Counsel
Pratt Center for Community Development,"200 Willoughby Ave, Brooklyn, NY 11205",718-636-3486,www.prattcenter.net,Endorser,Statewide Right to Counsel
UHAB | Urban Homesteading Assistance Board,"120 Wall St 20th floor, New York, NY 10005",212-479-3300,www.uhab.org,Endorser,Statewide Right to Counsel
Flatbush Tenant Coalition,"1616 Newkirk Ave, Brooklyn, NY 11226",718-635-2623,https://flatbushpower.org/,Coalition Member,"Statewide Right to Counsel,Clean Hands,Winter Eviction Moratorium,Defend Right to Counsel"
Her Justice,"100 Broadway, 10th floor, New York, NY 10005",212-695-3800,https://www.herjustice.org/,Endorser,Statewide Right to Counsel
Chinese-American Planning Council ,"4812 9th Ave, Brooklyn, NY 11220",718-431-2320,www.cpc-nyc.org,Endorser,Statewide Right to Counsel
Fifth Avenue Committee,"621 Degraw St, Brooklyn, NY 11217",718-237-2017,www.fifthave.org,Endorser,Statewide Right to Counsel
Housing Justice for All,"New York, NY",,https://housingjusticeforall.org/,Endorser,Statewide Right to Counsel
Tenants PAC,"277 Broadway, New York, NY 10013",,https://www.facebook.com/tenantspac/,Endorser,Statewide Right to Counsel
Westchester County Board of Legislators,"148 Martine Ave, White Plains, NY 10601",,https://westchesterlegislators.com/,Endorser,Statewide Right to Counsel
United Way of Westchester and Putnam,"336 Central Park Ave, White Plains, NY 10530",914-997-6700,www.uwwp.org,Endorser,Statewide Right to Counsel
Woodside On the Move,"51-23 Queens Blvd, Queens, NY 11377",718-476-8449,www.woodsideonthemove.org,Endorser,"Statewide Right to Counsel,Winter Eviction Moratorium"
Los Sures,"434 S 5th St, Brooklyn, NY 11211",718-387-3600,www.southsideunitedhdfc.org,Endorser,Statewide Right to Counsel
Housing Opportunities Made Equal (HOME),"1542 Main St, Buffalo, NY 14209",716-854-1400,www.homeny.org,Endorser,Statewide Right to Counsel
"Fair Housing Justice Center, Inc.","30-30 Northern Blvd #302, Queens, NY 11101",212-400-8201,www.fairhousingjustice.org,Endorser,Statewide Right to Counsel
Fund For Modern Courts,"387 2nd Ave #608, New York, NY 10010",212-541-6741,www.moderncourts.org,Endorser,Statewide Right to Counsel
Westchester Children's Association,"470 Mamaroneck Ave, White Plains, NY 10605",914-946-7676,www.wca4kids.org,Endorser,Statewide Right to Counsel
Center for Safety & Change,"9 Johnsons Ln, New City, NY 10956", 845-634-3391,www.centerforsafetyandchange.org,Endorser,Statewide Right to Counsel
New York State Council of Churches,"85 Chestnut St, Albany, NY 12210",518-436-9319,www.nyscoc.org,Endorser,Statewide Right to Counsel
1199SEIU ,"498 7th Ave, New York, NY 10018",646-473-9200,www.1199seiubenefits.org,Endorser,Statewide Right to Counsel
PUSH Buffalo,"429 Plymouth Ave Suite 1, Ground Floor, Buffalo, NY 14213",716-884-0356,www.pushbuffalo.org,Endorser,Statewide Right to Counsel
East Newyork Urban Youth Corps,"539 Alabama Ave, Brooklyn, NY 11207",718-922-2311,https://hcr.ny.gov/location/east-new-york-urban-youth-corps-inc,Endorser,Statewide Right to Counsel
Shelters of Saratoga Inc,"14 Walworth St, Saratoga Springs, NY 12866",518-581-1097,www.sheltersofsaratoga.org,Endorser,Statewide Right to Counsel
Association for Neighborhood & Housing Development,"50 Broad St # 1402, New York, NY 10004",212-747-1117,www.anhd.org,Endorser,Statewide Right to Counsel
AARP,"919 3rd Ave, New York, NY 10022",212-319-5294,www.aarp.org,Endorser,Statewide Right to Counsel
New York Civil Liberties Union (NYCLU),"125 Broad St 19th floor, New York, NY 10004",212-607-3300,https://www.nyclu.org/,Endorser,Statewide Right to Counsel
"Program Design and Development, LLC","33 W Main St suite 404, Elmsford, NY 10523",914-592-1272,http://programdesign.com/index.php?page=who-pdd-is,Endorser,Statewide Right to Counsel
Brooklyn Community Services,"151 Lawrence St 4th floor, Brooklyn, NY 11201",718-310-5600,www.wearebcs.org,Endorser,Statewide Right to Counsel
Housing Works,"57 Willoughby St, Brooklyn, NY 11201",347-473-7400,https://www.housingworks.org/,Endorser,Statewide Right to Counsel
"Legal Services of the Hudson Valley's Staff Attorney Association, National Organization of Legal Service Workers, Local 2320","Hudson Valley, NY",212-228-0992,https://lssa2320.org/,Endorser,Statewide Right to Counsel
"Legal Aid Bureau of Buffalo, Inc.","290 Main Street, Suite 400, Buffalo, NY 14202",716-853-9555,https://legalaidbuffalo.org/,Endorser,Statewide Right to Counsel
Legal Services of Central New York,"221 S Warren St #300, Syracuse, NY 13202",315-703-6500,https://www.lscny.org/,Endorser,Statewide Right to Counsel
Hiscock Legal Aid Society,"351 S Warren St, Syracuse, NY 13202",315-422-8191,https://www.hlalaw.org/,Endorser,Statewide Right to Counsel
Housing for All Albany,"Albany, NY",,"https://utalbany.org/housing-for-all/#:~:text=Housing%20for%20All%20is%20a,in%20the%20City%20of%20Albany.",Endorser,Statewide Right to Counsel
St. Nicks Alliance,"2 Kingsland Ave, Brooklyn, NY 11211",718-388-5454,www.stnicksalliance.org,Endorser,Statewide Right to Counsel
United Neighbors Organization (UNO) at SNA,"2 Kingsland Ave, Brooklyn, NY 11211",718-388-5454,https://www.facebook.com/UNOTenantPower/,Endorser,Statewide Right to Counsel
VOCAL-NY - New York,"300 Douglass St, Brooklyn, NY 11217",718-802-9540,https://www.vocal-ny.org/,Endorser,Statewide Right to Counsel
VOCAL-NY - Albany,"69 State St, Albany, NY, USA",718-802-9540,https://www.vocal-ny.org/chapter/albany/,Endorser,Statewide Right to Counsel
VOCAL-NY - Buffalo,"Buffalo, NY, USA",718-802-9540,https://www.vocal-ny.org/chapter/buffalo/,Endorser,Statewide Right to Counsel
VOCAL-NY - Hudson Valley,"Hudson Valley, NY, USA",718-802-9540,https://www.vocal-ny.org/chapter/hudson-valley/,Endorser,Statewide Right to Counsel
VOCAL-NY - Westchester County,"Westchester County, NY, USA",718-802-9540,https://www.vocal-ny.org/chapter/westchester-county/,Endorser,Statewide Right to Counsel
VOCAL-NY - Rochester,"189 N Water St, Rochester, NY 14604, USA",718-802-9540,https://www.vocal-ny.org/chapter/rochester/,Endorser,Statewide Right to Counsel
VOCAL-NY - Syracuse,"Syracuse, NY, USA",718-802-9540,https://www.vocal-ny.org/chapter/syracuse/,Endorser,Statewide Right to Counsel
Lower Hudson Valley Democratic Socialists of America,"Yonkers, NY",,https://www.lhvdsa.org/,Endorser,Statewide Right to Counsel
NYC DSA Housing Working Group,"14 Jefferson St, New York, NY 10002",,https://socialists.nyc/working-groups/,Endorser,"Statewide Right to Counsel,Winter Eviction Moratorium"
United Community Centers Inc,"613 New Lots Ave, Brooklyn, NY 11207",718-649-7979,https://ucceny.org/,Endorser,Statewide Right to Counsel
Make the Road New York - Queens,"92-10 Roosevelt Avenue, Jackson Heights, NY 11372",718-565-8500,https://maketheroadny.org/,Endorser,Statewide Right to Counsel
Make the Road New York - Brooklyn,"301 Grove Street, Brooklyn, NY 11237",718-418-7690,https://maketheroadny.org/,Endorser,Statewide Right to Counsel
Make the Road New York - Staten Island,"161 Port Richmond Avenue, Staten Island, NY 10302",718-727-1222,https://maketheroadny.org/,Endorser,Statewide Right to Counsel
Make the Road New York - White Plains,"46 Waller Ave, White Plains, NY 10605",914-948-8466,https://maketheroadny.org/,Endorser,Statewide Right to Counsel
Make the Road New York - Long Island,"1090 Suffolk Avenue, Brentwood, NY 11717",631-231-2220,https://maketheroadny.org/,Endorser,Statewide Right to Counsel
Party for Socialism and Liberation - New York City,"2295 Adam Clayton Powell Blvd. #1, New York City, NY 10030",212-694-8762,https://pslweb.org/,Endorser,Statewide Right to Counsel
Buffalo Democratic Socialists of America,"Buffalo, NY",,https://buffalo-dsa.org/,Endorser,Statewide Right to Counsel
Fund for Modern Courts,"387 2nd Avenue, No. 608, New York, NY 10010",,https://moderncourts.org/,Endorser,"Statewide Right to Counsel,Winter Eviction Moratorium,Clean Hands,Defend Right to Counsel"
West Side Neighborhood Alliance,"777 10th Ave #1, New York, NY 10019",212-541-5996 x.16,https://westsideneighborhoodalliance.wordpress.com/about/,Coalition Member,"Statewide Right to Counsel,Clean Hands,Winter Eviction Moratorium,Defend Right to Counsel"
Bronx Legal Services,"349 East 149th St., 10th Floor, Bronx, NY 10451",917-661-4500,https://www.legalservicesnyc.org/our-program/bronx,Coalition Member,"Statewide Right to Counsel,Clean Hands,Winter Eviction Moratorium,Defend Right to Counsel"
Midtown South Community Council,"331 W 38th St, New York, New York 10018, US",,https://midtownsouthcc.org/,Coalition Member,"Statewide Right to Counsel,Winter Eviction Moratorium,Clean Hands,Defend Right to Counsel"
National Action Network,"106 W 145th St, New York, NY 10039",212-690-3070,https://nationalactionnetwork.net/,Coalition Member,"Statewide Right to Counsel,Winter Eviction Moratorium,Clean Hands,Defend Right to Counsel"
New York Association on Independent Living,"155 Washington Ave #208, Albany, NY 12210",518-465-4650,https://ilny.us/,Endorser,Statewide Right to Counsel
Workers United NY NJ Regional Joint Board,"305 7th Ave., 7th Floor, New York, NY 10001",212-475-3131,https://workersunitednynj.org/about/,Endorser,Statewide Right to Counsel
Lenox Hill Neighborhood House ,"331 E 70th St, New York, NY 10021",212-744-5022,https://www.lenoxhill.org/,Endorser,Statewide Right to Counsel
The Opera House Tenants Union,"27 Arion Pl Flat 116, Brooklyn, NY 11206",,https://withfriends.co/opera_house_tenant_union/about,Endorser,Statewide Right to Counsel
Partnership for the Public Good,"617 Main St #300, Buffalo, NY 14203",716-852-4191,https://ppgbuffalo.org/,Endorser,Statewide Right to Counsel
Homeless Alliance of Western NY,"960 Main St, Buffalo, NY 14202",716-853-1101,https://wnyhomeless.org/,Endorser,Statewide Right to Counsel
Drum-Desis Rising Up & Moving,"72-18 Roosevelt Ave, Queens, NY 11372",718-205-3036,https://www.drumnyc.org/,Endorser,Statewide Right to Counsel
"Cluster, Inc","28 Wells Ave, Yonkers, NY 10701",914-963-6440,www.clusterinc.org,Supporter,Statewide Right to Counsel
FOCUS Churches of Albany Inc,"275 State St, Albany, NY 12210",518-443-0460,www.focuschurches.net,Supporter,Statewide Right to Counsel
Chhaya CDC Richmond Hill Center,"121-18 Liberty Ave 2nd floor, South Richmond Hill, NY 11419",718-374-3371,www.chhayacdc.org,Supporter,Statewide Right to Counsel
Cornell Law School Tenants Advocacy Practicum,"Myron Taylor Hall, Ithaca, NY 14853",607-255-5141,www.lawschool.cornell.edu,Endorser,Statewide Right to Counsel
Albany County Central Federation of Labor (ACCFL),"196 Mt Hope Dr, Albany, NY 12202",,https://cdalf.org/albany-central-federation-labor-afl-cio,Supporter,Statewide Right to Counsel
Albany Common Council,"24 Eagle St # 202, Albany, NY 12207",518-434-5087,https://www.albanyny.gov/2187/Albany-Common-Council,Endorser,Statewide Right to Counsel
Manhattan Community Board 4,"424 W. 33rd Street, Suite 580, New York, NY 10001",212-736-4536,https://cbmanhattan.cityofnewyork.us/cb4/about/,Supporter,Statewide Right to Counsel
Manhattan Community Board 5,"450 7th Avenue, Rm. 2109, New York, NY 10123",212-465-0907,https://www.cb5.org/cb5m/?,Supporter,Statewide Right to Counsel
Manhattan Community Board 7,"250 W 87th St # 2, New York, NY 10024",212-362-4008,https://www.nyc.gov/site/manhattancb7/index.page,Supporter,Statewide Right to Counsel
Manhattan Community Board 8,"505 Park Ave #620, New York, NY 10022",212-758-4340,https://www.cb8m.com/,Endorser,Statewide Right to Counsel
Manhattan Community Board 10,"215 West 125th Street, 4th Floor, New York, NY 10027",212-749-3105,https://cbmanhattan.cityofnewyork.us/cb10/,Endorser,Statewide Right to Counsel
Access Justice Brooklyn,"44 Court Street, Suite 1206,k Brooklyn, NY 11201",718-624-3894,https://www.accessjusticebrooklyn.org/,Endorser,Statewide Right to Counsel
Association of Legal Aid Attorneys -- UAW Local 2325,"1600 50, Broadway, New York, NY 10004",212-343-0708,https://www.alaa.org/,Endorser,Statewide Right to Counsel
City Bar Justice Center,"42 West 44th Street, New York, NY 10036",212-626-7383,https://www.citybarjusticecenter.org/,Endorser,Statewide Right to Counsel
"Erie County Bar Association Volunteer Lawyers Project, Inc.","438 Main St 7th floor, Buffalo, NY 14202",716-847-0662,https://ecbavlp.com/,Endorser,Statewide Right to Counsel
